coord.Location;WGS84_X;WGS84_Y;bare_500m;builtup_500m;crop_500m;grass_500m;moss_500m;permw_500m;seasw_500m;shrub_500m;snow_500m;tree_500m
8;8,667604;49,54986;0;97,15;0,48;0,85;0;0;0;0,18;0;1,34
1;9,831628;53,467754;0,009174312;52,9266055;3,862385321;7,330275229;0;0;0;1,394495413;0;34,47706422
3;9,966042193;53,54668303;0,226415094;67,03773585;0,433962264;2,877358491;0;26,22641509;0,08490566;0,547169811;0;2,650943396
27;9,92640517;53,60090335;0,028846154;54,5;9,759615385;6,663461538;0;0,038461538;0,5;0,451923077;0;28,55769231
Di21.B;9,966029;53,54678;0,224299065;68,21495327;0,429906542;2,887850467;0;25,04672897;0,08411215;0,542056075;0;2,654205607
AI21.8;13,519128;51,445989;0,180952381;19,37142857;39,92380952;14,44761905;0;0;0;3,095238095;0;22,98095238
AI21.2;12,395046;51,472129;0,617647059;16,18627451;75,78431373;4,31372549;0;0;0;0,715686275;0;2,382352941
AI21.6;12,800308;51,686631;0,819047619;3,847619048;21,64761905;17,78095238;0;15,48571429;3,171428571;3,104761905;0;37,31428571
16;7,773234128;48,05757931;0,989473684;49,81052632;32,25263158;9,631578947;0;0;0;1,863157895;0;5,452631579
13;6,572633035;51,21364565;1,27184466;49,63106796;32,55339806;10,06796117;0;0;0;1,436893204;0;5,038834951
23;8,144749;53,38965;0,122641509;72,01886792;7,264150943;9,679245283;0;0;0;0,754716981;0;10,16037736
9;9,091006;48,531274;0,092783505;66,05154639;12,34020619;8,06185567;0;0;0;1,536082474;0;11,91752577
18;8,904547313;50,45671025;0,198019802;31,01980198;35,43564356;9,544554455;0;13,33663366;0,712871287;1,148514851;0;9,316831683
4;8,135965;53,406016;0,027522936;56,86238532;20,88073394;14,60550459;0;0;0;2,724770642;0;4,899082569
10;10,99455305;49,45533801;0,020833333;95,5625;0,8125;1,822916667;0;0,333333333;0,083333333;0,291666667;0;1,15625
31;12,61314367;51,5032598;0,144230769;5,759615385;71,26923077;12,49038462;0;0,230769231;1,461538462;1,990384615;0;8,115384615
15;12,139343;48,987164;0,178947368;89,95789474;5,642105263;2,473684211;0;0;0;0,294736842;0;1,452631579
2;9,779574;53,495093;0,698113208;13,25471698;38,17924528;33,56603774;0;0;0;3,405660377;0;10,89622642
11;8,089358;49,194622;0,35;63,94;12,77;9,92;0;0;0;1,59;0;11,43
7;9,233597;53,982713;0,261682243;17,36448598;44,31775701;14,6635514;0;0;0;1,943925234;0;21,44859813
28;9,456918465;51,3377895;0,79047619;62,08571429;21,99047619;5,533333333;0;0;0;1,133333333;0;8,466666667
32;9,142242294;48,64136007;0,12;85,2;8,99;3,59;0;0;0;0,53;0;1,57
19;9,61133829;47,57897433;1,333333333;56,85416667;11,75;12,20833333;0;1,520833333;0,958333333;2,71875;0;13,61458333
24;8,320144324;48,88449562;1,798076923;52,51923077;34,73076923;8,134615385;0;0;0;1,153846154;0;1,663461538
17;9,189173007;47,69315659;0,778947368;37,53684211;8,715789474;9,389473684;0;9,157894737;1,031578947;1,526315789;0;32,89473684
