"Landmark","Group","Variance_X","Variance_Y"
"LM 1","High tree cover",6.77016092273401e-05,1.66552443244084e-05
"LM 1","Low tree cover",0.00013758714563777,1.83217617472666e-05
"LM 2","High tree cover",0.000216989161533811,2.03924945525138e-05
"LM 2","Low tree cover",0.000218687293721288,2.18820917502497e-05
"LM 3","High tree cover",2.55885786410099e-05,2.52113454433759e-05
"LM 3","Low tree cover",2.43913324177605e-05,2.06917664217253e-05
"LM 10","High tree cover",6.18439239188879e-05,2.72499064303518e-05
"LM 10","Low tree cover",7.44255957842052e-05,2.51354026760712e-05
"LM 17","High tree cover",0.000148001691042537,6.08523182933199e-06
"LM 17","Low tree cover",0.000294488020448637,6.61587189803255e-06
"LM 18","High tree cover",0.000101485278440438,6.84582083505212e-06
"LM 18","Low tree cover",0.000139386291901525,5.76774998816555e-06
