"group","procrustes_variance"
"Ba",0.00115192166998423
"Bu",0.00135278452247052
"El",0.0012047701936478
"Fu",0.000962259031236399
"Ha1",0.00120205468824105
"Ha2",0.00136875335053457
"Ha3",0.00126800413012377
"Ha4",0.00440955768111644
"In",0.000942148113969811
"Ka",0.00143685143643366
"Kr",0.000951024021737975
"La",0.00120644668941824
"Li",0.00109635053113795
"Ra",0.000940491998415361
"Re",0.00119410391843772
"Ru",0.00108743322595553
"Rv",0.000923391127885758
"Tn",0.000988595960053458
"Va ",0.00112270942512053
"Va2",0.000949153758622732
"Wa",0.00296851433874392
"Wm",0.00124274022364812
"Zl",0.00134697079627394
